OBJECTID,Codigo_Muniicipio,Departamento,Municipio,Periodo_1980_1988,Periodo_1989_1996,Periodo_1997_2004,Periodo_2005_2014,Descripcion,Periodo,Fuente,Fecha_Actualizacion,Total_1989_2014,Shape_Length,Shape_Area
1,05001,ANTIOQUIA,MEDELLÍN,412,4662,23268,81738,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,110080,1.032545926181,0.0306059241279447
2,05002,ANTIOQUIA,ABEJORRAL,46,296,6494,2030,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,8866,1.15850379022198,0.0413838961970877
3,05004,ANTIOQUIA,ABRIAQUÍ,74,229,987,129,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1419,0.812183229835074,0.0242482554608592
4,05021,ANTIOQUIA,ALEJANDRÍA,10,116,4997,368,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,5491,0.705199538542981,0.0105345265763769
5,05030,ANTIOQUIA,AMAGÁ,20,130,670,787,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1607,0.445240716521857,0.00686652323313189
6,05031,ANTIOQUIA,AMALFI,216,465,3653,2286,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,6620,2.06335956359729,0.0989213098361173
7,05034,ANTIOQUIA,ANDES,45,326,1305,1872,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3548,1.14698358028917,0.0328165802123458
8,05036,ANTIOQUIA,ANGELÓPOLIS,6,57,1147,216,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1426,0.42749559553437,0.00668338736805394
9,05038,ANTIOQUIA,ANGOSTURA,11,193,2465,854,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3523,0.915670584923727,0.027666957649676
10,05040,ANTIOQUIA,ANORÍ,48,130,4375,8451,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,13004,1.84764405945919,0.115706036890769
11,05042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,38,427,1553,835,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2853,1.12544817349723,0.0429950544002395
12,05044,ANTIOQUIA,ANZÁ,13,274,3234,367,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3888,0.746835164769666,0.0208933711104955
13,05045,ANTIOQUIA,APARTADÓ,1419,16526,29669,17130,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,64744,1.28661901175486,0.0438004926529816
14,05051,ANTIOQUIA,ARBOLETES,1561,13005,7406,2901,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,24873,1.86044996941687,0.061853006028736
15,05055,ANTIOQUIA,ARGELIA,202,796,12092,7924,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,21014,1.06233838013207,0.0200221218902247
16,05059,ANTIOQUIA,ARMENIA,1,11,245,227,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,484,0.502777095499008,0.00901440259610552
17,05079,ANTIOQUIA,BARBOSA,6,240,2260,1160,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3666,0.770239824804711,0.0168019058869989
