DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,NumeroDeSolicitudes,NumeroDePredios,NumeroDeTitulares
Santander,San Benito,68673,2,2,2
Nariño,Chachagüí,52240,5,5,5
Santander,Rionegro,68615,290,279,228
Nariño,Ricaurte,52612,121,104,83
Cundinamarca,Silvania,25743,87,81,59
Antioquia,Anza,5044,21,21,17
Bolívar,Clemencia,13222,31,31,27
Risaralda,Mistrató,66456,111,105,90
Casanare,Trinidad,85430,98,85,68
Caldas,Pácora,17513,44,43,26
Tolima,Santa Isabel,73686,51,50,46
Cundinamarca,Caparrapí,25148,79,78,68
Cundinamarca,Bituima,25095,14,14,10
Quindío,Génova,63302,38,37,31
Antioquia,Barbosa,5079,55,49,38
Bolívar,Río Viejo,13600,57,53,51
Bolívar,San Fernando,13650,1,1,1
Tolima,Villarrica,73873,154,140,125
Vaupés,Taraira,97666,2,2,2
Nariño,Buesaco,52110,91,90,75
Antioquia,Betania,5091,67,65,46
Quindío,Montenegro,63470,7,7,5
Boyacá,Gachantivá,15293,2,2,2
Nariño,Cumbal,52227,52,50,36
Boyacá,Chiquinquirá,15176,2,2,2
Caldas,Neira,17486,11,11,11
Santander,Cabrera,68121,1,1,1
Atlántico,Malambo,8433,9,8,8
Cundinamarca,Anapoima,25035,6,6,6
Antioquia,Caldas,5129,16,11,12
Tolima,Coyaima,73217,342,296,216
Córdoba,Moñitos,23500,17,17,14
Cundinamarca,Sibaté,25740,7,7,6
Santander,Tona,68820,8,2,7
Antioquia,Hispania,5353,2,0,2
Huila,Timaná,41807,4,4,4
Nariño,Taminango,52786,18,18,11
Tolima,Espinal,73268,3,3,2
Nariño,El Rosario,52256,439,428,359
Huila,Nátaga,41483,46,31,43
Chocó,Lloró,27413,22,22,19
Cundinamarca,Tocancipá,25817,1,1,1
La Guajira,Dibulla,44090,299,286,261
Magdalena,Algarrobo,47030,36,36,30
La Guajira,El Molino,44110,69,59,64
Tolima,Carmen De Apicalá,73148,3,3,3
Bolívar,El Guamo,13248,59,54,41
Antioquia,San Pedro,5664,5,5,3
Boyacá,Chitaraque,15185,1,1,1
Boyacá,El Espino,15248,9,8,5
Antioquia,San Francisco,5652,229,215,161
Chocó,Bojayá,27099,59,56,48
Caldas,Aranzazu,17050,7,7,3
Boyacá,Arcabuco,15051,1,1,1
Caldas,Marmato,17442,11,11,9
Bolívar,Soplaviento,13760,3,3,3
Huila,Agrado,41013,9,9,5
Cundinamarca,Gachalá,25293,26,25,19
Caldas,Viterbo,17877,7,7,7
